TaskID,SelectedCloud,StartTime,EndTime,ExecutionTime,CPUCost,SLADuration,SLAMet
1,1,54.36922255,55.57379398,1.204571429,126.48,1.054,NO
2,0,54.8949062,55.8455062,0.9506,95.06,1.18825,YES
3,1,55.36040252,56.39240252,1.032,108.36,0.903,NO
4,0,55.36610966,56.08110966,0.715,71.5,0.89375,YES
5,2,55.47603476,57.38303476,1.907,190.7,1.191875,NO
6,2,56.36018886,57.81778886,1.4576,145.76,0.911,NO
7,1,56.50088357,57.54402643,1.043142857,109.53,0.91275,NO
8,0,57.02329221,58.00209221,0.9788,97.88,1.2235,YES
9,2,57.10841723,58.91141723,1.803,180.3,1.126875,NO
10,2,57.5361848,59.2739848,1.7378,173.78,1.086125,NO
11,2,57.73844511,59.41104511,1.6726,167.26,1.045375,NO
12,0,58.78981241,59.70771241,0.9179,91.79,1.147375,YES
13,1,59.72080505,60.92209076,1.201285714,126.135,1.051125,NO
14,1,59.73221932,61.01207646,1.279857143,134.385,1.119875,NO
15,2,59.95206951,61.38346951,1.4314,143.14,0.894625,NO
16,1,61.10766766,62.21609623,1.108428571,116.385,0.969875,NO
17,0,61.72037773,62.67827773,0.9579,95.79,1.197375,YES
18,2,62.00176715,63.84096715,1.8392,183.92,1.1495,NO
19,2,62.68471861,64.21791861,1.5332,153.32,0.95825,NO
20,0,63.04658441,64.00008441,0.9535,95.35,1.191875,YES
21,2,63.21683446,64.61723446,1.4004,140.04,0.87525,NO
22,1,64.0723696,65.22465532,1.152285714,120.99,1.00825,NO
23,1,64.08120757,65.29735043,1.216142857,127.695,1.064125,NO
24,2,64.09832897,66.06892897,1.9706,197.06,1.231625,NO
25,0,64.42810427,65.19640427,0.7683,76.83,0.960375,YES
26,0,64.47689021,65.42019021,0.9433,94.33,1.179125,YES
27,0,66.57962481,67.31592481,0.7363,73.63,0.920375,YES
28,1,67.08056659,68.19485231,1.114285714,117,0.975,NO
29,1,67.50265072,68.87693643,1.374285714,144.3,1.2025,NO
30,2,67.84611277,69.54891277,1.7028,170.28,1.06425,NO
31,2,68.44161009,69.96501009,1.5234,152.34,0.952125,NO
32,2,68.46443863,69.90403863,1.4396,143.96,0.89975,NO
33,2,68.90413902,70.60153902,1.6974,169.74,1.060875,NO
34,1,69.06987662,70.48516234,1.415285714,148.605,1.238375,NO
35,1,69.32525169,70.38753741,1.062285714,111.54,0.9295,NO
36,2,70.47453102,72.26273102,1.7882,178.82,1.117625,NO
37,0,70.6085544,71.6029544,0.9944,99.44,1.243,YES
38,0,71.21533532,72.07533532,0.86,86,1.075,YES
39,2,72.44075546,74.21815546,1.7774,177.74,1.110875,NO
40,1,72.80201261,73.82215547,1.020142857,107.115,0.892625,NO
41,0,72.83054829,73.60604829,0.7755,77.55,0.969375,YES
42,1,73.00353429,74.40567715,1.402142857,147.225,1.226875,NO
43,0,73.38017378,74.15567378,0.7755,77.55,0.969375,YES
44,1,74.36943722,75.55815151,1.188714286,124.815,1.040125,NO
45,2,74.58455787,76.30975787,1.7252,172.52,1.07825,NO
46,1,75.09316883,76.27831169,1.185142857,124.44,1.037,NO
47,2,75.43366892,77.29846892,1.8648,186.48,1.1655,NO
48,2,77.14473921,79.07173921,1.927,192.7,1.204375,NO
49,1,77.16241514,78.36627228,1.203857143,126.405,1.053375,NO
50,0,77.19665795,77.93565795,0.739,73.9,0.92375,YES
51,1,77.80094432,78.96523004,1.164285714,122.25,1.01875,NO
52,2,77.85620854,79.42500854,1.5688,156.88,0.9805,NO
53,1,77.95378043,79.12849471,1.174714286,123.345,1.027875,NO
54,1,78.26434342,79.55534342,1.291,135.555,1.129625,NO
55,2,78.50441787,80.23161787,1.7272,172.72,1.0795,NO
56,2,81.11646104,83.02106104,1.9046,190.46,1.190375,NO
57,2,81.32300298,83.17840298,1.8554,185.54,1.159625,NO
58,0,81.52281766,82.37381766,0.851,85.1,1.06375,YES
59,0,81.54208615,82.33668615,0.7946,79.46,0.99325,YES
60,2,81.5627676,83.1115676,1.5488,154.88,0.968,NO
61,2,82.15924963,83.74804963,1.5888,158.88,0.993,NO
62,0,82.33224329,83.08504329,0.7528,75.28,0.941,YES
63,2,83.16113319,84.67093319,1.5098,150.98,0.943625,NO
64,1,83.68092401,84.85206687,1.171142857,122.97,1.02475,NO
65,2,84.00530144,85.83150144,1.8262,182.62,1.141375,NO
66,1,84.69222553,85.98851125,1.296285714,136.11,1.13425,NO
67,1,85.88322018,87.23179161,1.348571429,141.6,1.18,NO
68,0,85.92887726,86.77917726,0.8503,85.03,1.062875,YES
69,1,86.05415583,87.30072726,1.246571429,130.89,1.09075,NO
70,2,86.80827805,88.61927805,1.811,181.1,1.131875,NO
71,2,87.13975324,88.70515324,1.5654,156.54,0.978375,NO
72,0,87.65050339,88.56650339,0.916,91.6,1.145,YES
73,2,88.06144809,89.49664809,1.4352,143.52,0.897,NO
74,2,88.52132205,90.44672205,1.9254,192.54,1.203375,NO
75,0,89.50618501,90.38898501,0.8828,88.28,1.1035,YES
76,0,89.94906204,90.89006204,0.941,94.1,1.17625,YES
77,0,90.21710881,91.13030881,0.9132,91.32,1.1415,YES
78,1,90.24362271,91.35990842,1.116285714,117.21,0.97675,NO
79,1,90.29498692,91.64927263,1.354285714,142.2,1.185,NO
80,2,91.2843128,92.8743128,1.59,159,0.99375,NO
81,2,91.43067064,93.39507064,1.9644,196.44,1.22775,NO
82,0,93.16304545,94.13934545,0.9763,97.63,1.220375,YES
83,0,93.75892062,94.66712062,0.9082,90.82,1.13525,YES
