StateVec,Action,Reward,SLAMet,CPUCost,Source,NextState,Done
"[176.62, 1.103875, 0.0, 0.0, 0.0]",2.0,0,NO,176.62,FCFS,"[176.62, 1.103875, 0.0, 0.0, 0.0]",False
"[88.29, 1.103625, 0.0, 0.0, 0.0]",0.0,1,YES,88.29,RoundRobin,"[88.29, 1.103625, 0.0, 0.0, 0.0]",False
"[94.95, 1.186875, 0.0, 0.0, 0.0]",0.0,1,YES,94.95,RoundRobin,"[94.95, 1.186875, 0.0, 0.0, 0.0]",False
"[75.39, 0.942375, 0.0, 0.0, 0.0]",0.0,1,YES,75.39,FCFS,"[75.39, 0.942375, 0.0, 0.0, 0.0]",False
"[146.31, 1.21925, 0.0, 0.0, 0.0]",1.0,0,NO,146.31,RoundRobin,"[146.31, 1.21925, 0.0, 0.0, 0.0]",False
"[126.12, 1.051, 0.0, 0.0, 0.0]",1.0,0,NO,126.12,RoundRobin,"[126.12, 1.051, 0.0, 0.0, 0.0]",False
"[111.9, 0.9325, 0.0, 0.0, 0.0]",1.0,0,NO,111.9,FCFS,"[111.9, 0.9325, 0.0, 0.0, 0.0]",False
"[50, 13140, 39, 7, 3]",0.0,1,YES,6.74,Original,"[50, 13140, 39, 7, 3]",False
"[197.28, 1.233, 0.0, 0.0, 0.0]",2.0,1,YES,197.28,XGBoost,"[197.28, 1.233, 0.0, 0.0, 0.0]",False
"[73.08, 0.9135, 0.0, 0.0, 0.0]",0.0,1,YES,73.08,XGBoost,"[73.08, 0.9135, 0.0, 0.0, 0.0]",False
"[31, 14771, 91, 32, 1]",0.0,1,YES,7.52,Original,"[31, 14771, 91, 32, 1]",False
"[98.52, 1.2315, 0.0, 0.0, 0.0]",0.0,1,YES,98.52,RoundRobin,"[98.52, 1.2315, 0.0, 0.0, 0.0]",False
"[83.3, 1.04125, 0.0, 0.0, 0.0]",0.0,1,YES,83.3,XGBoost,"[83.3, 1.04125, 0.0, 0.0, 0.0]",False
"[80.5, 1.00625, 0.0, 0.0, 0.0]",0.0,1,YES,80.5,XGBoost,"[80.5, 1.00625, 0.0, 0.0, 0.0]",False
"[91.95, 1.149375, 0.0, 0.0, 0.0]",0.0,1,YES,91.95,XGBoost,"[91.95, 1.149375, 0.0, 0.0, 0.0]",False
"[187.58, 1.172375, 0.0, 0.0, 0.0]",2.0,1,YES,187.58,XGBoost,"[187.58, 1.172375, 0.0, 0.0, 0.0]",False
"[109.17, 0.90975, 0.0, 0.0, 0.0]",1.0,0,NO,109.17,FCFS,"[109.17, 0.90975, 0.0, 0.0, 0.0]",False
"[144.615, 1.205125, 0.0, 0.0, 0.0]",1.0,0,NO,144.615,RoundRobin,"[144.615, 1.205125, 0.0, 0.0, 0.0]",False
"[148.635, 1.238625, 0.0, 0.0, 0.0]",1.0,0,NO,148.635,RoundRobin,"[148.635, 1.238625, 0.0, 0.0, 0.0]",False
"[84.29, 1.053625, 0.0, 0.0, 0.0]",0.0,1,YES,84.29,FCFS,"[84.29, 1.053625, 0.0, 0.0, 0.0]",False
"[153.86, 0.961625, 0.0, 0.0, 0.0]",2.0,0,NO,153.86,RoundRobin,"[153.86, 0.961625, 0.0, 0.0, 0.0]",False
"[129.99, 1.08325, 0.0, 0.0, 0.0]",1.0,0,NO,129.99,RoundRobin,"[129.99, 1.08325, 0.0, 0.0, 0.0]",False
"[75.86, 0.94825, 0.0, 0.0, 0.0]",0.0,1,YES,75.86,XGBoost,"[75.86, 0.94825, 0.0, 0.0, 0.0]",False
"[148.26, 0.926625, 0.0, 0.0, 0.0]",2.0,0,NO,148.26,FCFS,"[148.26, 0.926625, 0.0, 0.0, 0.0]",False
"[97.94, 1.22425, 0.0, 0.0, 0.0]",0.0,1,YES,97.94,FCFS,"[97.94, 1.22425, 0.0, 0.0, 0.0]",False
"[80.24, 1.003, 0.0, 0.0, 0.0]",0.0,1,YES,80.24,XGBoost,"[80.24, 1.003, 0.0, 0.0, 0.0]",False
"[82.33, 1.029125, 0.0, 0.0, 0.0]",0.0,1,YES,82.33,RoundRobin,"[82.33, 1.029125, 0.0, 0.0, 0.0]",False
"[97.86, 1.22325, 0.0, 0.0, 0.0]",0.0,1,YES,97.86,XGBoost,"[97.86, 1.22325, 0.0, 0.0, 0.0]",False
"[39, 12464, 33, 46, 1]",0.0,1,YES,6.8,Original,"[39, 12464, 33, 46, 1]",False
"[98.26, 1.22825, 0.0, 0.0, 0.0]",0.0,1,YES,98.26,RoundRobin,"[98.26, 1.22825, 0.0, 0.0, 0.0]",False
"[144.18, 0.901125, 0.0, 0.0, 0.0]",2.0,0,NO,144.18,RoundRobin,"[144.18, 0.901125, 0.0, 0.0, 0.0]",False
"[148.4, 0.9275, 0.0, 0.0, 0.0]",2.0,0,NO,148.4,RoundRobin,"[148.4, 0.9275, 0.0, 0.0, 0.0]",False
"[78.61, 0.982625, 0.0, 0.0, 0.0]",0.0,1,YES,78.61,XGBoost,"[78.61, 0.982625, 0.0, 0.0, 0.0]",False
"[83.46, 1.04325, 0.0, 0.0, 0.0]",0.0,1,YES,83.46,RoundRobin,"[83.46, 1.04325, 0.0, 0.0, 0.0]",False
"[144.93, 1.20775, 0.0, 0.0, 0.0]",1.0,0,NO,144.93,FCFS,"[144.93, 1.20775, 0.0, 0.0, 0.0]",False
"[135.075, 1.125625, 0.0, 0.0, 0.0]",1.0,0,NO,135.075,RoundRobin,"[135.075, 1.125625, 0.0, 0.0, 0.0]",False
"[95.38, 1.19225, 0.0, 0.0, 0.0]",0.0,1,YES,95.38,FCFS,"[95.38, 1.19225, 0.0, 0.0, 0.0]",False
"[90.55, 1.131875, 0.0, 0.0, 0.0]",0.0,1,YES,90.55,RoundRobin,"[90.55, 1.131875, 0.0, 0.0, 0.0]",False
"[82, 15421, 44, 19, 3]",1.0,1,YES,1.28,Original,"[82, 15421, 44, 19, 3]",False
"[195.58, 1.222375, 0.0, 0.0, 0.0]",2.0,1,YES,195.58,XGBoost,"[195.58, 1.222375, 0.0, 0.0, 0.0]",False
"[84.03, 1.050375, 0.0, 0.0, 0.0]",0.0,1,YES,84.03,FCFS,"[84.03, 1.050375, 0.0, 0.0, 0.0]",False
"[80, 6544, 37, 39, 2]",0.0,1,YES,9.58,Original,"[80, 6544, 37, 39, 2]",False
"[178.3, 1.114375, 0.0, 0.0, 0.0]",2.0,0,NO,178.3,RoundRobin,"[178.3, 1.114375, 0.0, 0.0, 0.0]",False
