StateVec,Action,Reward,SLAMet,CPUCost,Source
"[176.62, 1.103875]",2.0,0,NO,176.62,FCFS
"[88.29, 1.103625]",0.0,1,YES,88.29,RoundRobin
"[94.95, 1.186875]",0.0,1,YES,94.95,RoundRobin
"[75.39, 0.942375]",0.0,1,YES,75.39,FCFS
"[146.31, 1.21925]",1.0,0,NO,146.31,RoundRobin
"[126.12, 1.051]",1.0,0,NO,126.12,RoundRobin
"[111.9, 0.9325]",1.0,0,NO,111.9,FCFS
"[50, 13140, 39, 7, 3]",0.0,1,YES,6.74,Original
"[197.28, 1.233]",2.0,1,YES,197.28,XGBoost
"[73.08, 0.9135]",0.0,1,YES,73.08,XGBoost
"[31, 14771, 91, 32, 1]",0.0,1,YES,7.52,Original
"[98.52, 1.2315]",0.0,1,YES,98.52,RoundRobin
"[83.3, 1.04125]",0.0,1,YES,83.3,XGBoost
"[80.5, 1.00625]",0.0,1,YES,80.5,XGBoost
"[91.95, 1.149375]",0.0,1,YES,91.95,XGBoost
"[187.58, 1.172375]",2.0,1,YES,187.58,XGBoost
"[109.17, 0.90975]",1.0,0,NO,109.17,FCFS
"[144.615, 1.205125]",1.0,0,NO,144.615,RoundRobin
"[148.635, 1.238625]",1.0,0,NO,148.635,RoundRobin
"[84.29, 1.053625]",0.0,1,YES,84.29,FCFS
"[153.86, 0.961625]",2.0,0,NO,153.86,RoundRobin
"[129.99, 1.08325]",1.0,0,NO,129.99,RoundRobin
"[75.86, 0.94825]",0.0,1,YES,75.86,XGBoost
"[148.26, 0.926625]",2.0,0,NO,148.26,FCFS
"[97.94, 1.22425]",0.0,1,YES,97.94,FCFS
"[80.24, 1.003]",0.0,1,YES,80.24,XGBoost
"[82.33, 1.029125]",0.0,1,YES,82.33,RoundRobin
"[97.86, 1.22325]",0.0,1,YES,97.86,XGBoost
"[39, 12464, 33, 46, 1]",0.0,1,YES,6.8,Original
"[98.26, 1.22825]",0.0,1,YES,98.26,RoundRobin
"[144.18, 0.901125]",2.0,0,NO,144.18,RoundRobin
"[148.4, 0.9275]",2.0,0,NO,148.4,RoundRobin
"[78.61, 0.982625]",0.0,1,YES,78.61,XGBoost
"[83.46, 1.04325]",0.0,1,YES,83.46,RoundRobin
"[144.93, 1.20775]",1.0,0,NO,144.93,FCFS
"[135.075, 1.125625]",1.0,0,NO,135.075,RoundRobin
"[95.38, 1.19225]",0.0,1,YES,95.38,FCFS
"[90.55, 1.131875]",0.0,1,YES,90.55,RoundRobin
"[82, 15421, 44, 19, 3]",1.0,1,YES,1.28,Original
"[195.58, 1.222375]",2.0,1,YES,195.58,XGBoost
"[84.03, 1.050375]",0.0,1,YES,84.03,FCFS
"[80, 6544, 37, 39, 2]",0.0,1,YES,9.58,Original
"[178.3, 1.114375]",2.0,0,NO,178.3,RoundRobin
"[154.18, 0.963625]",2.0,0,NO,154.18,FCFS
"[128.835, 1.073625]",1.0,0,NO,128.835,RoundRobin
"[99.42, 1.24275]",0.0,1,YES,99.42,XGBoost
"[74.58, 0.93225]",0.0,1,YES,74.58,FCFS
"[92.08, 1.151]",0.0,1,YES,92.08,RoundRobin
"[175.46, 1.096625]",2.0,0,NO,175.46,FCFS
"[79.42, 0.99275]",0.0,1,YES,79.42,XGBoost
"[99.99, 1.249875]",0.0,1,YES,99.99,XGBoost
"[112.545, 0.937875]",1.0,0,NO,112.545,RoundRobin
"[86.13, 1.076625]",0.0,1,YES,86.13,XGBoost
"[83.58, 1.04475]",0.0,1,YES,83.58,FCFS
"[152.6, 0.95375]",2.0,0,NO,152.6,XGBoost
"[107.595, 0.896625]",1.0,0,NO,107.595,RoundRobin
"[93.17, 1.164625]",0.0,1,YES,93.17,XGBoost
"[133.41, 1.11175]",1.0,0,NO,133.41,FCFS
"[136.92, 1.141]",1.0,0,NO,136.92,RoundRobin
"[85.81, 1.072625]",0.0,1,YES,85.81,XGBoost
