Model,TaskID,SelectedCloud,SLA,Reason
PPO,1,2.0,YES,High cost led to choosing cheaper cloud
PPO,2,1.0,NO,Execution time exceeded SLA deadline
PPO,3,1.0,NO,Execution time exceeded SLA deadline
PPO,4,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,5,2.0,NO,High cost led to choosing cheaper cloud
PPO,6,1.0,NO,Execution time exceeded SLA deadline
PPO,7,2.0,NO,High cost led to choosing cheaper cloud
PPO,8,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,9,2.0,NO,High cost led to choosing cheaper cloud
PPO,10,2.0,NO,Execution time exceeded SLA deadline
PPO,11,2.0,NO,Execution time exceeded SLA deadline
PPO,12,2.0,NO,High cost led to choosing cheaper cloud
PPO,13,1.0,NO,Execution time exceeded SLA deadline
PPO,14,1.0,YES,Balanced decision between SLA and cost
PPO,15,2.0,NO,High cost led to choosing cheaper cloud
PPO,16,2.0,NO,High cost led to choosing cheaper cloud
PPO,17,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,18,1.0,NO,Execution time exceeded SLA deadline
PPO,19,1.0,NO,Execution time exceeded SLA deadline
PPO,20,1.0,NO,Execution time exceeded SLA deadline
PPO,21,2.0,NO,High cost led to choosing cheaper cloud
PPO,22,1.0,NO,Execution time exceeded SLA deadline
PPO,23,2.0,NO,Execution time exceeded SLA deadline
PPO,24,2.0,YES,High cost led to choosing cheaper cloud
PPO,25,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,26,1.0,NO,Execution time exceeded SLA deadline
PPO,27,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,28,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,29,1.0,YES,Balanced decision between SLA and cost
PPO,30,2.0,NO,High cost led to choosing cheaper cloud
PPO,31,2.0,NO,High cost led to choosing cheaper cloud
PPO,32,1.0,NO,Execution time exceeded SLA deadline
PPO,33,1.0,NO,Execution time exceeded SLA deadline
PPO,34,1.0,YES,Balanced decision between SLA and cost
PPO,35,1.0,YES,Balanced decision between SLA and cost
PPO,36,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,37,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,38,1.0,NO,Execution time exceeded SLA deadline
PPO,39,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,40,1.0,YES,Balanced decision between SLA and cost
PPO,41,1.0,NO,Execution time exceeded SLA deadline
PPO,42,1.0,YES,Balanced decision between SLA and cost
PPO,43,1.0,NO,Execution time exceeded SLA deadline
PPO,44,1.0,YES,Balanced decision between SLA and cost
PPO,45,1.0,YES,Balanced decision between SLA and cost
PPO,46,1.0,YES,Balanced decision between SLA and cost
PPO,47,2.0,YES,High cost led to choosing cheaper cloud
PPO,48,1.0,NO,Execution time exceeded SLA deadline
PPO,49,1.0,NO,Execution time exceeded SLA deadline
PPO,50,1.0,NO,Execution time exceeded SLA deadline
PPO,51,2.0,NO,High cost led to choosing cheaper cloud
PPO,52,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,53,1.0,NO,Execution time exceeded SLA deadline
PPO,54,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,55,2.0,NO,High cost led to choosing cheaper cloud
PPO,56,2.0,NO,High cost led to choosing cheaper cloud
PPO,57,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,58,2.0,YES,High cost led to choosing cheaper cloud
PPO,59,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,60,1.0,YES,Balanced decision between SLA and cost
PPO,61,2.0,NO,High cost led to choosing cheaper cloud
PPO,62,1.0,NO,Execution time exceeded SLA deadline
PPO,63,2.0,YES,High cost led to choosing cheaper cloud
PPO,64,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,65,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,66,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,67,1.0,YES,Balanced decision between SLA and cost
PPO,68,2.0,NO,Execution time exceeded SLA deadline
PPO,69,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,70,2.0,NO,Execution time exceeded SLA deadline
PPO,71,2.0,YES,High cost led to choosing cheaper cloud
PPO,72,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,73,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,74,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,75,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,76,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,77,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,78,1.0,NO,Execution time exceeded SLA deadline
PPO,79,1.0,NO,Execution time exceeded SLA deadline
PPO,80,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,81,1.0,NO,Execution time exceeded SLA deadline
PPO,82,2.0,NO,High cost led to choosing cheaper cloud
PPO,83,1.0,YES,Balanced decision between SLA and cost
PPO,84,2.0,YES,High cost led to choosing cheaper cloud
PPO,85,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,86,2.0,YES,High cost led to choosing cheaper cloud
PPO,87,2.0,NO,Execution time exceeded SLA deadline
PPO,88,1.0,YES,Balanced decision between SLA and cost
PPO,89,1.0,NO,Execution time exceeded SLA deadline
PPO,90,1.0,YES,Balanced decision between SLA and cost
PPO,91,1.0,NO,Execution time exceeded SLA deadline
PPO,92,1.0,YES,Balanced decision between SLA and cost
PPO,93,1.0,NO,Execution time exceeded SLA deadline
PPO,94,2.0,NO,High cost led to choosing cheaper cloud
PPO,95,1.0,YES,Balanced decision between SLA and cost
PPO,96,1.0,NO,Execution time exceeded SLA deadline
PPO,97,2.0,YES,High cost led to choosing cheaper cloud
PPO,98,2.0,NO,High cost led to choosing cheaper cloud
PPO,99,2.0,NO,Execution time exceeded SLA deadline
PPO,100,1.0,NO,Execution time exceeded SLA deadline
PPO,101,1.0,YES,Balanced decision between SLA and cost
PPO,102,2.0,YES,High cost led to choosing cheaper cloud
PPO,103,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,104,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,105,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,106,2.0,NO,High cost led to choosing cheaper cloud
PPO,107,1.0,NO,Execution time exceeded SLA deadline
PPO,108,1.0,YES,Balanced decision between SLA and cost
PPO,109,2.0,NO,High cost led to choosing cheaper cloud
PPO,110,2.0,NO,High cost led to choosing cheaper cloud
PPO,111,1.0,NO,Execution time exceeded SLA deadline
PPO,112,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,113,1.0,NO,Execution time exceeded SLA deadline
PPO,114,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,115,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,116,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,117,1.0,YES,Balanced decision between SLA and cost
PPO,118,2.0,NO,High cost led to choosing cheaper cloud
PPO,119,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,120,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,121,2.0,NO,High cost led to choosing cheaper cloud
PPO,122,1.0,NO,Execution time exceeded SLA deadline
PPO,123,2.0,NO,Execution time exceeded SLA deadline
PPO,124,1.0,YES,Balanced decision between SLA and cost
PPO,125,1.0,NO,Execution time exceeded SLA deadline
PPO,126,2.0,NO,Execution time exceeded SLA deadline
PPO,127,1.0,NO,Execution time exceeded SLA deadline
PPO,128,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,129,1.0,YES,Balanced decision between SLA and cost
PPO,130,1.0,NO,Execution time exceeded SLA deadline
PPO,131,1.0,NO,Execution time exceeded SLA deadline
PPO,132,1.0,NO,Execution time exceeded SLA deadline
PPO,133,2.0,NO,High cost led to choosing cheaper cloud
PPO,134,2.0,NO,High cost led to choosing cheaper cloud
PPO,135,2.0,YES,High cost led to choosing cheaper cloud
PPO,136,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,137,2.0,NO,High cost led to choosing cheaper cloud
PPO,138,1.0,NO,Execution time exceeded SLA deadline
PPO,139,1.0,YES,Balanced decision between SLA and cost
PPO,140,1.0,YES,Balanced decision between SLA and cost
PPO,141,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,142,2.0,NO,High cost led to choosing cheaper cloud
PPO,143,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,144,1.0,YES,Balanced decision between SLA and cost
PPO,145,1.0,YES,Balanced decision between SLA and cost
PPO,146,1.0,NO,Execution time exceeded SLA deadline
PPO,147,1.0,YES,Balanced decision between SLA and cost
PPO,148,2.0,YES,High cost led to choosing cheaper cloud
PPO,149,2.0,NO,High cost led to choosing cheaper cloud
PPO,150,2.0,NO,High cost led to choosing cheaper cloud
PPO,151,2.0,YES,High cost led to choosing cheaper cloud
PPO,152,1.0,NO,Execution time exceeded SLA deadline
PPO,153,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,154,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,155,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,156,1.0,NO,Execution time exceeded SLA deadline
PPO,157,1.0,NO,Execution time exceeded SLA deadline
PPO,158,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,159,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,160,2.0,YES,High cost led to choosing cheaper cloud
PPO,161,1.0,NO,Execution time exceeded SLA deadline
PPO,162,0.0,YES,Long SLA allowed cost-optimized scheduling
PPO,163,0.0,YES,Long SLA allowed cost-optimized scheduling
