TaskID,SelectedCloud,StartTime,EndTime,ExecutionTime,CPUCost,SLADuration,SLAMet
1,0,54.28882905,55.03412905,0.7453,74.53,0.931625,YES
2,1,54.40489132,55.81660561,1.411714286,148.23,1.23525,NO
3,2,54.72234446,56.47234446,1.75,175,1.09375,NO
4,0,54.76682154,55.51432154,0.7475,74.75,0.934375,YES
5,1,55.26471926,56.49843354,1.233714286,129.54,1.0795,NO
6,2,55.88653505,57.39093505,1.5044,150.44,0.94025,NO
7,0,55.9345553,56.9171553,0.9826,98.26,1.22825,YES
8,1,56.07395313,57.23166741,1.157714286,121.56,1.013,NO
9,2,57.44460103,59.18460103,1.74,174,1.0875,NO
10,0,57.5776581,58.3845581,0.8069,80.69,1.008625,YES
11,1,57.80978264,59.1149255,1.305142857,137.04,1.142,NO
12,2,57.92714758,59.33254758,1.4054,140.54,0.878375,NO
13,0,58.44468892,59.19548892,0.7508,75.08,0.9385,YES
14,1,58.53364309,59.91835737,1.384714286,145.395,1.211625,NO
15,2,59.52943851,61.51983851,1.9904,199.04,1.244,NO
16,0,60.7730701,61.4733701,0.7003,70.03,0.875375,YES
17,1,60.86648715,61.93863001,1.072142857,112.575,0.938125,NO
18,2,60.8691106,62.4629106,1.5938,159.38,0.996125,NO
19,0,61.14790626,62.05020626,0.9023,90.23,1.127875,YES
20,1,61.21467397,62.51553111,1.300857143,136.59,1.13825,NO
21,2,62.16703338,63.76303338,1.596,159.6,0.9975,NO
22,0,62.30046463,63.15216463,0.8517,85.17,1.064625,YES
23,1,63.79415777,64.83287205,1.038714286,109.065,0.908875,NO
24,2,63.88920207,65.33620207,1.447,144.7,0.904375,NO
25,0,64.1553162,65.1542162,0.9989,99.89,1.248625,YES
26,1,64.61956529,65.96027957,1.340714286,140.775,1.173125,NO
27,2,64.85429516,66.42529516,1.571,157.1,0.981875,NO
28,0,65.65960515,66.45370515,0.7941,79.41,0.992625,YES
29,1,65.80366591,67.16852305,1.364857143,143.31,1.19425,NO
30,2,65.88937784,67.38417784,1.4948,149.48,0.93425,NO
31,0,66.06728618,67.02548618,0.9582,95.82,1.19775,YES
32,1,66.22185939,67.2521451,1.030285714,108.18,0.9015,NO
33,2,67.44414525,69.14094525,1.6968,169.68,1.0605,NO
34,0,68.02445661,68.92805661,0.9036,90.36,1.1295,YES
35,1,68.05887702,69.11844845,1.059571429,111.255,0.927125,NO
36,2,69.61172231,71.53912231,1.9274,192.74,1.204625,NO
37,0,69.83410772,70.82660772,0.9925,99.25,1.240625,YES
38,1,70.3338031,71.34208881,1.008285714,105.87,0.88225,NO
39,2,70.54614021,72.45474021,1.9086,190.86,1.192875,NO
40,0,70.7329743,71.5467743,0.8138,81.38,1.01725,YES
41,1,70.73822121,71.95250692,1.214285714,127.5,1.0625,NO
42,2,71.29581251,73.10681251,1.811,181.1,1.131875,NO
43,0,71.42934793,72.35164793,0.9223,92.23,1.152875,YES
44,1,71.78144274,72.94587131,1.164428571,122.265,1.018875,NO
45,2,72.32359628,74.25099628,1.9274,192.74,1.204625,NO
46,0,73.33406677,74.09146677,0.7574,75.74,0.94675,YES
47,1,73.60092926,74.94921498,1.348285714,141.57,1.17975,NO
48,2,74.02180335,76.01460335,1.9928,199.28,1.2455,NO
49,0,74.83423925,75.67883925,0.8446,84.46,1.05575,YES
50,1,75.43267526,76.64010383,1.207428571,126.78,1.0565,NO
51,2,75.67277651,77.07917651,1.4064,140.64,0.879,NO
52,0,76.36976564,77.12936564,0.7596,75.96,0.9495,YES
53,1,76.58831553,77.90945839,1.321142857,138.72,1.156,NO
54,2,76.77840413,78.30320413,1.5248,152.48,0.953,NO
55,0,77.05641123,77.93991123,0.8835,88.35,1.104375,YES
56,1,77.3106324,78.65491811,1.344285714,141.15,1.17625,NO
57,2,77.36775081,79.09035081,1.7226,172.26,1.076625,NO
58,0,78.23913058,79.14033058,0.9012,90.12,1.1265,YES
59,1,78.70859032,79.99644746,1.287857143,135.225,1.126875,NO
60,2,80.31921031,81.99181031,1.6726,167.26,1.045375,NO
61,0,80.59946145,81.55036145,0.9509,95.09,1.188625,YES
62,1,80.60733181,81.86490324,1.257571429,132.045,1.100375,NO
63,2,80.77875569,82.30255569,1.5238,152.38,0.952375,NO
